catId,category
0,商务皮鞋
1,小说
2,戏剧/综艺
3,十字绣
4,针织衫
5,天然琥珀/珍珠/玉石
6,瑜伽包
7,急救护理用品
8,男士单肩包
9,包装设备
10,其它户外用品
11,其他运动器材
12,施华洛世奇/其他水晶
13,足球鞋
14,凉拖
15,防盗/报警/监控器材及系统
16,方便/速食/真空即食
17,电子词典/文曲星
18,水上用品
19,手镯
20,高尔夫球相关
21,连身裤
22,程序/软件开发
23,暖贴/热水袋
24,笔记本/平板配件
25,沐浴用品
26,男士防晒
27,宠物相关
28,户外其他
29,卡通/动漫
30,数据传输
31,摄影摄像
32,电子计步器
33,明星纪念品/主题系列收藏
34,睡衣/睡袍/家居服
35,手巾/口水巾/三角巾
36,鞋盒
37,牛初乳
38,其它用品
39,奶粉
40,门窗
41,鱼类及其用品
42,功能眼镜
43,计算机/网络
44,沙发类
45,亲子/家教
46,摩托车相关
47,民族拉弦乐器
48,室内休闲运动
49,牌/章/卡/票
50,婴幼宝贝服饰
51,单鞋
52,家用理疗仪
53,挂饰/壁饰
54,手机耳机
55,染发膏
56,猫/狗梳理美容
57,其他
58,男士斜挎包/胸包
59,镜头
60,牙刷
61,电动/遥控玩具
62,空气净化/氧吧
63,婴儿安全用品
64,舞台影音
65,贺卡/明信片
66,其他家居饰品
67,食品/保健
68,速溶咖啡/咖啡豆/粉
69,电工配件
70,板鞋
71,足浴器
72,家庭/家居
73,泳镜/泳帽/其它泳具
74,数码贴膜
75,洗洁精/油污清洁
76,拖把
77,睡袋
78,地毯/地垫
79,运动包
80,台球相关
81,鱿鱼/鱼干/海味
82,锅刷/除油刷
83,婴童/青少年家具
84,游戏代练
85,其他饰品相关
86,历史
87,电火锅/电蒸锅
88,打底/保暖内衣
89,电脑包
90,运动球衣
91,肉松/鱼松
92,丝袜/连裤袜/打底裤
93,女性器具
94,女士单肩包
95,胸部护理
96,民族弹拨乐器
97,洗液
98,烫衣板
99,车载电器
100,煮蛋器
101,计算器
102,精油芳疗
103,雪地靴
104,刘海/接发/马尾/发包
105,消毒液
106,数据线
107,自行车/骑行/配件
108,iPhone保护壳/套
109,柜类
110,服务
111,扫描仪
112,生活电器配件
113,浴擦
114,其他随身视听
115,卡通
116,其他服饰配件
117,时尚/美妆
118,网球相关
119,枕头/枕套
120,花瓶/花器/花盆/花架
121,旅游/地图
122,婴儿配方奶粉
123,其他美发产品
124,激光笔
125,其它软件
126,主板
127,男士手拿包
128,美发配件工具
129,学生文具
130,吉他配件
131,其他儿童服装
132,游戏装备
133,电线
134,功能内衣裤
135,复读机
136,纱窗
137,手杖/助行
138,其它个性定制
139,儿童下装
140,旅行包
141,其他办公/文化用品
142,耳套
143,服饰配件
144,粉底
145,雕刻
146,发光/电子玩具
147,其他手机配件
148,高光粉/阴影粉
149,麦克风/话筒
150,刀具/多用工具
151,经管类图书
152,酒类
153,益生菌
154,长裤
155,打底裤/打底裙
156,吸汗巾/垫背巾
157,面部精华
158,塑身美体增高
159,其他厨房家电
160,法律
161,家电罩
162,钱币
163,美甲
164,动漫/幽默
165,工艺饰品
166,胶卷/相纸
167,装饰烟灰缸
168,礼服婚纱配件
169,运动器材
170,手工/DIY
171,沐浴露
172,奶酪/乳品/乳饮料
173,家居服务
174,BB霜
175,其它大家电
176,咬咬袋
177,户外眼镜
178,装饰器皿
179,鲜花/绿植
180,早教/益智
181,电视
182,其它影音设备
183,缝纫用品
184,运动卫衣
185,画片/相片/相片墙
186,其他专项收藏
187,电脑元件
188,束发带
189,社会科学
190,生活服务
191,门帘
192,网络会员卡/付费卡
193,桌布/桌旗
194,迷你植物
195,压缩袋/泵
196,婚庆用品
197,品牌保健品
198,乡村/民谣
199,卫生护垫
200,衣帽架/晒衣架
201,刀具/烹饪用具
202,抓绒衣
203,钙/锌/铁
204,电视剧
205,电脑整机
206,手柄/摇杆/方向盘
207,新生儿玩具
208,眼镜
209,玩具/娃娃/模型/动漫/桌游
210,登山鞋
211,管理
212,帐篷
213,护臀爽身
214,手机配饰
215,游艺设施/户外休闲
216,彩妆盘
217,收纳整理
218,短外套
219,汽车维修/工具
220,鞋油/皮革护理
221,政治/军事
222,家用电器
223,低帮皮鞋
224,收纳
225,刷漆用具
226,游戏币
227,施工保护
228,粮油/蔬果/熟食/水产/干货
229,窗帘/布艺/地毯
230,进口巧克力
231,宠物服装
232,钻石
233,西洋管/笛/号/其它
234,瓷砖
235,须后水
236,景点门票
237,其他彩妆
238,欧美流行
239,书包
240,购物车/篮
241,孕期护肤/洗护
242,国画书法/文房四宝/篆刻
243,美妆工具
244,戒指/指环
245,冲锋衣
246,手机配件
247,Cosplay服饰/配件
248,加湿/除湿器
249,急救卫生
250,MIDI乐器/电脑音乐
251,头巾/手帕
252,电动车
253,体育/运动
254,中餐/西餐/自助餐
255,睫毛膏
256,婴儿牛奶粉
257,行业软件
258,唇膏
259,单电/微单相机
260,帆布鞋
261,功能箱包
262,刺绣
263,扭扭车
264,挂钟/落地钟
265,编程开发软件
266,篮球相关
267,浴盐/沐浴用品
268,存储设备
269,园艺用品
270,保险柜/箱
271,足部按摩
272,鉴定/保养工具
273,溯溪鞋
274,成人纸尿裤
275,民族吹奏乐器
276,生活影视
277,CMMB移动电视
278,棉服
279,进口粮食/速食品
280,儿童家具
281,刮痧用品
282,轮椅
283,家用游戏机
284,进口饮料
285,育儿/早教
286,羽毛球鞋
287,登山攀岩
288,耳饰
289,杯具/水壶
290,汽车培训/出租
291,CPU
292,糖果/果冻/布丁
293,儿童裙装
294,剃须刀
295,排球相关
296,钢琴
297,女士腰包
298,布料/面料
299,整体假发
300,果汁/饮品
301,益智玩具
302,雨衣/雨披
303,电玩专用配件
304,手机
305,成功/励志
306,暖宝
307,家具五金
308,T恤/打底衫
309,五分裤/中裤
310,电压力锅
311,大家电配件
312,婴儿洗护
313,防撞/防护/门卡/提醒
314,女性护理
315,空气清新剂
316,急救包/急救箱
317,野餐炊具
318,节电器
319,风琴/手风琴/口风琴
320,模型玩偶
321,笔记本贴膜/贴纸
322,毛巾被/毯
323,唇彩/唇蜜
324,汽车用品/内饰
325,光驱/刻录机
326,灯具
327,台灯
328,面包/西点
329,卫浴安装服务
330,手动工具
331,连衣裙
332,机箱
333,油/米/面粉/杂粮
334,童装配饰
335,教育影视
336,户外仪表
337,进口CD
338,饼干/磨牙棒
339,集线器
340,办公用纸
341,刻录碟片
342,旅游/度假服务
343,防尘袋
344,炭/净化
345,防尿垫巾/尿布/尿布带
346,软件/服务
347,显示器
348,数码影音
349,海鲜/水产品
350,创意礼品
351,大型游乐设施
352,男士乳液/面霜
353,经济
354,瑞士军刀
355,遮瑕
356,夹克
357,发膜/倒模
358,户外水具
359,西装
360,雪纺衫
361,显卡
362,厨房
363,项圈/手环
364,干货/土特产
365,蔬菜/水果/制品
366,服务器
367,绘图测量
368,其它产品
369,相机包
370,围裙/袖套
371,孕妇装/孕妇内衣
372,其它影音产品
373,茶叶
374,中小学教辅
375,功能音乐
376,散热设备
377,轮滑鞋/旱冰鞋
378,U盘
379,教材
380,其它食品
381,雨鞋/靴
382,无线网络
383,卫生巾
384,投影机及配件
385,电热毯
386,装修/设计
387,闹钟
388,猫/狗日用品
389,墙钟
390,网络设备
391,女鞋
392,托运箱
393,各类贴纸
394,红蓝宝石/贵重宝石
395,情侣情趣
396,哲学/宗教
397,生活电器
398,进口豆类/花生
399,家务手套
400,防辐射
401,语音视频设备
402,青春文学
403,其他影像配件
404,Polo衫
405,内衣配件
406,洁面
407,瑜伽垫
408,布艺手工成品
409,男性器具
410,咖啡器具
411,胶黏用品
412,毛绒玩具
413,电动牙刷
414,舞蹈/体操/健美操
415,眼部护理
416,彩妆
417,饰品盒
418,收录机/手提CD
419,电动车/电动车配件
420,其他厨房用品
421,亲子装
422,文件夹/柜
423,挂钩/粘钩
424,其它球类运动
425,猫零食
426,进口饼干
427,烟具/戒烟
428,女士钱包
429,进口蜜饯/果干
430,保健按摩器材
431,净水器
432,水路管线/管阀
433,装饰灯
434,户外鞋袜
435,秋衣/内衣裤/睡衣
436,乐器/乐器配件
437,毛巾/浴巾
438,电源/电池
439,外设产品
440,复印/一体机
441,腰带
442,雨伞/阳伞/配件
443,邮票
444,情趣丝袜/配饰
445,面膜
446,运动棉衣/羽绒服
447,极限运动
448,教育考试软件
449,油漆/涂料/壁纸
450,沙滩鞋
451,面部护理
452,卸妆
453,美容美发/美体瘦身卡
454,冰箱
455,酒具/酒杯/酒壶
456,衬衫
457,围巾
458,领带/领结
459,眼部保健
460,跑步鞋
461,相册/相簿
462,足浴/洗浴/按摩券
463,电动打蛋器
464,民乐
465,足球相关
466,居家商品定制
467,餐椅摇椅/安全椅
468,LED设备
469,皂盒
470,音响
471,仿真花/仿真花材料
472,网球鞋
473,浴帘
474,自然科学
475,蓝牙耳机
476,其它图书
477,保鲜盒/微波用品
478,其他运动鞋
479,休闲鞋
480,台式机
481,腮红
482,辅助用品/其他
483,皮肤风衣
484,动漫周边/公仔
485,缝纫机
486,钟表/首饰/眼镜/礼品
487,钟表
488,防护器具
489,蜜粉/散粉
490,电纸书配件
491,民族服装
492,手机壳/套
493,运动拖鞋
494,电子词典/学习机/点读机配件
495,笔筒/座/插/架
496,被罩/被套
497,其它玩具
498,蜡烛/烛台
499,床垫/床褥
500,墨盒/硒鼓/墨粉/色带
501,其它电脑周边
502,男士护肤
503,西装裤
504,翡翠
505,优惠券/折扣券
506,调味/酱类/沙拉
507,鞋类用品
508,其他户外服装
509,工业技术
510,防尘罩
511,手机贴膜
512,男士爽肤水
513,其他灯具
514,直发膏
515,测量用具
516,垃圾桶/架
517,虫草
518,鞋类箱包
519,文学艺术
520,变压器/稳压器
521,电吹风
522,运动户外配饰
523,湿巾/纸巾
524,加热器
525,汽车影音
526,其它保健器材
527,民间运动
528,汽车改装/零配件
529,泳衣
530,软件源代码
531,洗衣机
532,收纳陈列
533,冰箱贴
534,皮衣
535,发饰
536,枸杞及其制品
537,清洁剂/洁厕剂
538,背心
539,机票/充值/票务/虚拟
540,提琴
541,宠物/宠物食品/宠物用品
542,网络存储
543,护发素
544,打印机配件
545,户外衣裤套装
546,珠宝/钻石/翡翠/黄金
547,进口酒
548,蜜饯/枣类/梅/果脯
549,童车/床/儿童轮滑
550,进口食品
551,家纺
552,音像
553,香水
554,男鞋
555,球迷用品/其它
556,绕线/收纳
557,3G无线上网缴费
558,润唇护唇
559,油烟机
560,腾讯QQ专区
561,模型/机器人
562,被子
563,肉干/肉脯/豆干/肉类
564,休闲食品
565,纸巾盒
566,孕产/胎教
567,功放
568,磨脚器
569,棉衣
570,美术用品
571,家具/家装/建材
572,尿裤湿巾
573,牙签/牙签筒
574,毛巾架
575,苹果内置配件
576,线衣/针织衫
577,办公通讯
578,提货券
579,运动裙装
580,童车自行车
581,餐具
582,排球鞋
583,胶卷相机
584,七分裤/九分裤
585,速干衣
586,传记
587,茶具
588,茶几/台案
589,其他个人护理
590,点穴棒
591,数码单反相机
592,卡套卡包
593,DIY饰品配件
594,维生素
595,滑板车/滑板/活力板
596,蚊帐/床幔
597,碎纸机
598,救生衣/泳圈/玩具
599,文学类
600,核桃/坚果/炒货
601,童鞋
602,电动工具
603,藕粉/麦片/冲饮
604,巧克力
605,户外羽绒服
606,奶粉存储盒
607,剃/脱毛器
608,户外家具
609,洗手液
610,其它户外鞋类
611,CD盒/架
612,装订用品
613,狗零食
614,古董/字画/收藏
615,榨汁机
616,男士手提包/公文包
617,布线箱
618,其他家庭清洁
619,防护装备
620,成套家具
621,个人护理电器
622,电子血糖仪
623,面包机/多士炉
624,影棚专用
625,音乐DVD/VCD
626,蓬蓬粉
627,磨砂/去角质
628,房产/租赁
629,工业设计
630,其他面部护理
631,速干裤
632,桌类
633,垂钓用品
634,婴儿护肤
635,登机箱
636,早教/智能玩具
637,炒股软件
638,打火机/Zippo
639,菜粉/水果粉
640,手机通讯
641,项链/吊坠
642,平板电脑
643,硬盘
644,凉席
645,USB电脑周边
646,汽车防护用品/防爆膜/保险杠
647,洗脸机
648,家用五金
649,情趣内衣/睡衣
650,棒球相关
651,户外服装
652,内存
653,高帮鞋
654,线材/线类
655,家装主材
656,烧烤用品
657,三轮车/健身车
658,滑雪用品
659,生活日用
660,香皂
661,酒水/饮料/茶叶/咖啡
662,游戏软件
663,进口糖果/布丁
664,瑜伽瘦身
665,生活类图书
666,体育用品
667,袖扣
668,货架/展柜
669,运动套装
670,指甲钳/指甲剪
671,洗衣液/柔软剂
672,清洁用品
673,有框画
674,男士内衣
675,机械五金
676,眼影
677,饮水机
678,篮球鞋
679,科普读物
680,跆拳道/武术/搏击
681,女装
682,药盒/医药箱
683,床类
684,交换机
685,暖奶/调奶器
686,项链/耳饰/发饰/戒指
687,摄影配件
688,太阳眼镜
689,水泥/沙/石
690,民族/舞台服装
691,电动剃须刀
692,摇滚
693,滑雪服
694,求生装备
695,刃具
696,其他滋补/保健品
697,棋牌/桌面游戏
698,电视盒/电视卡
699,电子琴/数码钢琴/合成器
700,木方/木条
701,学步车/踏行车
702,热水器
703,图形图像软件
704,床上套件
705,吊扇
706,手表
707,T恤
708,微波炉
709,滤镜
710,其它服务
711,越野跑鞋
712,血压计
713,文胸
714,家庭清洁
715,口琴
716,犬主粮
717,大衣
718,其它个人护理电器
719,梳子
720,头巾/护耳
721,吸尘器
722,身体护理
723,人文社科类图书
724,文化
725,防晒
726,孕期营养品
727,裁剪用品
728,T区护理
729,不织布/DIY/辅件
730,面霜/乳液
731,西点用品
732,吉他/贝司
733,游戏账号
734,西洋鼓
735,衣架/三角衣架
736,鼠标
737,相框/画框
738,LOMO相机
739,工具书
740,电水壶
741,吊带/背心
742,休闲/爱好
743,保温杯/保温壶
744,攀岩鞋
745,配送安装服务
746,摆件
747,影音电器
748,阿胶
749,围脖
750,建筑
751,电子凭证
752,洗衣粉
753,单反手柄
754,pos机
755,羽毛球相关
756,大型健身器械
757,粉饼
758,户外拖鞋
759,牙胶/固齿
760,眼镜配件/护理
761,平板电脑配件
762,男士双肩包
763,乒乓球相关
764,呢大衣
765,汽车外饰/装潢/车标/装饰灯
766,羊奶粉
767,身体按摩
768,电磁炉
769,水桶
770,婴儿床/摇篮
771,击剑运动
772,气动工具
773,按摩椅
774,机电五金
775,电池/充电器/移动电源
776,转换器
777,童装/童鞋/亲子装
778,应用软件
779,燃气灶
780,DHA
781,军迷用品
782,数码摄像机
783,情趣家具
784,赛车相关
785,礼品
786,学爬/学步
787,马术运动
788,高山靴
789,电炖锅/文火炉
790,男士钱包/卡包
791,个性定制/设计服务/DIY
792,狗狗
793,喂养用品
794,运动裤装
795,影碟机/DVD
796,蜂蜜/蜂胶/蜂产品
797,瘦身纤体
798,太阳能电池
799,男装
800,三脚架/云台
801,宗教/庆典音乐
802,服饰服装
803,披肩
804,布尿裤
805,iPod配件
806,戏水/游泳
807,其他生活电器
808,笔记本/日记本/便签
809,垂钓服
810,车灯/氙气灯
811,内增高鞋
812,洗衣刷/地板刷
813,其它生活日用品
814,移动硬盘
815,路由器/中继器
816,收音机
817,海外代购奶粉
818,电脑硬件
819,孕妇用品
820,机房布线
821,古典音乐
822,纸尿裤/拉拉裤/纸尿片
823,数码配件
824,宠物玩具
825,男包
826,模型零配件/工具
827,饮料/蔬果汁/茶饮
828,领带夹
829,拉杆箱/包
830,男士彩妆
831,男士面部护理
832,图书音像
833,厨房/餐具
834,一体机
835,塑身美体
836,装饰/搭配眼镜
837,营养品/保健品
838,汽车美容/养护
839,KTV/酒吧/俱乐部
840,专题片/专栏
841,靴子
842,美发护发
843,吸奶器
844,USB电器/其他
845,成人用品/计生用品
846,鼻贴/去黑头
847,户外照明
848,婴儿推车
849,帽子
850,发蜡
851,笔记本配件
852,挂烫/干衣机
853,空调
854,笔
855,华语流行
856,电风扇
857,声卡
858,垃圾袋
859,拆除用具
860,唇笔/唇线笔
861,帘类配件
862,考勤机
863,个人护理配件
864,户外装备
865,除尘掸
866,居家拖鞋
867,医学
868,电话机
869,消毒用具
870,其它运动服装
871,龟虾蟹及其用品
872,本地化生活服务
873,调味瓶/罐
874,滴眼液/护眼用品
875,毛衣
876,婚庆/派对
877,插座
878,影音电器配件
879,罐头
880,腰带/腰封/皮带/腰链
881,电玩/配件/游戏/攻略
882,地暖安装
883,家居饰品
884,运动鞋
885,背包/双肩包
886,田径运动器材
887,CD机/黑胶
888,相声/曲艺
889,猫/狗保健品/医疗用品
890,咖啡机
891,浴帽
892,有声读物
893,手机电池/充电
894,开关
895,更多纸张本册
896,餐具/饮具/研磨
897,旗袍/礼服/婚纱
898,镜类
899,风衣
900,鼠标垫
901,安全套
902,存储卡
903,卫衣
904,婴儿营养品/辅食
905,无框画
906,屏风
907,架类
908,手机号/套餐/增值业务
909,聚会/魔术
910,冰柜/冷柜
911,母婴/玩具
912,按摩枕/垫
913,女包
914,儿童上装
915,护手霜/手部护理
916,美妆个护
917,床单/床罩
918,汽车用品
919,商业/办公家具
920,胸针
921,外语
922,安防报警服务
923,进口图书
924,网游/虚拟货币/游戏点卡
925,其它
926,妈咪包/背婴带
927,板材
928,休闲裤
929,进口咖啡
930,运动娱乐
931,脏衣篮
932,笔记本散热
933,家居生活
934,投资理财
935,豆浆机
936,地板护理
937,其他男士护理
938,温灸器
939,电影票
940,厚底/松糕鞋
941,瑜伽服饰
942,运动服装
943,汽车GPS
944,其他民族乐器
945,空调扇
946,中老年服饰
947,理发器
948,美容电器
949,鲜花速递
950,锅具
951,卫浴
952,演出/票务
953,换气扇/排气扇
954,暖气/地暖/散热
955,半身裙
956,网卡
957,果盘/果篓
958,大家电
959,电烤箱
960,抱枕/靠垫/坐垫
961,凉鞋
962,键盘
963,运动T恤
964,厨房电器
965,毛衣/羊绒衫
966,花种/花苗
967,铂金/PT
968,杀毒软件
969,体重秤
970,iPhone配件
971,办公设备配件
972,木工用具
973,挂历/台历
974,服装定制
975,宗教/命理
976,民歌
977,皮草
978,生肉/肉制品/禽蛋
979,网络游戏点卡
980,财会用品
981,户外休闲裤
982,猫/狗清洁用品
983,其他家具
984,望远镜
985,工作服/制服
986,沙发套/椅套
987,猫咪
988,饼干/糕点/膨化
989,系统软件
990,旅游用品
991,装饰纸巾盒
992,耳机/耳麦
993,袜子
994,两性关系
995,mp3/mp4
996,手套
997,其他玩具
998,取暖器
999,其他网络设备
1000,西服
1001,女士手提包
1002,点钞/验钞机
1003,其他办公设备/耗材
1004,饭盒袋/保温包
1005,肉肠/鱼肠
1006,笔记本
1007,电影
1008,胎教/胎心仪
1009,口腔护理
1010,鼻毛修剪器
1011,保健/养生
1012,牙线
1013,世界音乐
1014,计生用品
1015,新生儿纪念/宝宝定制
1016,办公用品/文具/文化用品
1017,遮光罩
1018,照明/光源
1019,数码相机
1020,酸奶机
1021,其它乐器/乐器配件
1022,米粉/米糊/汤粥
1023,儿童用包
1024,男士润唇膏
1025,男士洁面
1026,手工皂/精油皂
1027,搅拌/料理机
1028,马桶套/马桶垫
1029,牙粉/牙素
1030,餐巾纸/卫生纸/湿巾
1031,户外休闲服
1032,掌机/PSP
1033,女士手拿包
1034,内裤
1035,日韩流行
1036,乒乓球鞋
1037,施工用具
1038,瑜伽配件
1039,断路器
1040,甩脂机
1041,爵士/蓝调
1042,电熨斗
1043,厨房电器配件
1044,短裤/热裤
1045,MacBook配件
1046,窗帘
1047,DIY工具
1048,烹饪/美食
1049,假睫毛/双眼皮贴
1050,轻音乐
1051,马甲
1052,古籍
1053,工作站
1054,围巾/丝巾
1055,徒步鞋
1056,儿童床上用品
1057,电脑/办公
1058,家具
1059,汽车安全防盗/儿童椅/跟踪器
1060,妈妈奶粉
1061,工艺礼品/摆件
1062,参类滋补品
1063,凉鞋/运动沙滩鞋
1064,电脑音箱
1065,其它书写工具
1066,组合/迷你音响
1067,椅/凳/塌类
1068,综合训练鞋/健身鞋
1069,视频软件
1070,读卡器
1071,仪表仪器
1072,香薰
1073,其它相关项目
1074,户外垫子/地席/压缩枕头
1075,教育培训
1076,艺术
1077,奶瓶/奶嘴
1078,酒柜
1079,脸盆
1080,组装机
1081,进口调味品
1082,羽绒服
1083,扫把/簸箕
1084,餐巾/餐垫/杯垫
1085,电脑/数码清洁
1086,少儿
1087,打印机
1088,百洁布/厨房清洁
1089,牙膏
1090,干电池
1091,拔罐用品
1092,冲锋裤
1093,商用厨电
1094,办公设备/耗材
1095,运动polo衫
1096,科技类图书
1097,运动颈环/手环/指环
1098,眼线
1099,男士腰包
1100,内衣/家居服
1101,少儿/教育图书
1102,黄金
1103,其他外设产品
1104,燕窝
1105,手链/脚链
1106,一次性餐具/餐桌用品
1107,进口保健品
1108,漱口水
1109,驱蚊灭虫
1110,摄像头
1111,运动户外
1112,风水/占卜
1113,教学演示/展示用品
1114,身体乳液/霜
1115,女士斜挎包
1116,考试
1117,电子音乐/舞曲
1118,眉部彩妆
1119,电纸书/电子阅览器
1120,户外袜子
1121,洗发水
1122,iPad配件
1123,化妆水/爽肤水
1124,数码相框
1125,电子/水电工
1126,隔离打底
1127,产后塑身
1128,手机/数码
1129,GPS/指南针/野外通讯
1130,中小型健身器材
1131,猫主粮
1132,剃须膏/啫喱
1133,营养面条
1134,弹力素
1135,隐形眼镜
1136,儿童套装
1137,其它厨房清洁
1138,马桶刷
1139,绘画/DIY/手工
1140,游戏附件/周边
1141,传真机
1142,儿童乐器/音乐玩具
1143,汽车香水/净化/降温剂
1144,儿童
1145,户外箱包
1146,电子体温计
1147,职业套装/制服/校服
1148,数位板/手写板
1149,家庭影院
1150,盆栽
1151,维修保养服务
1152,农业/林业
1153,滑雪鞋
1154,抓绒裤
1155,五金/工具
1156,汽车清洗工具/清洗用品
1157,基础建材
1158,清洁/消毒
1159,MP3/MP4配件
1160,西服套装
1161,发胶/啫喱
1162,足部护理
1163,牛仔裤
1164,话剧/音乐会/戏曲/舞蹈/其他
1165,保鲜袋/保鲜膜
1166,电饭煲
1167,女士双肩包
1168,Hifi音响配件
1169,录音笔
1170,LED
1171,蓬松喷雾
1172,靴裤
1173,其他婴儿用品
1174,床品定制/其他
